,Total US,US Large,USL Value,US Mid,USM Value,US Small,USS Value,US Dividend Appreciation,US REIT,US Consumer Staples,US Health Care,US Energy,Total International,International Developed,International Developed Value,International Developed Small,Emerging Markets,Emerging Small Cap,Frontier Markets,Global REIT,Sweden,Australia,South Africa,Gold,Commodities,Emerging Market Bonds,International Bonds,Corporate Bonds,US Bonds,TIPS,Intermediate Municipal Bonds,Long Term Treasuries,Intermediate Treasuries,Short Term Treasuries,Treasury Bills,US Large Cap Growth,US Mid Cap Growth,US Small Cap Growth,US Extended Market,US Microcap,Wellington,Wellesley,Windsor,Pacific,Europe,Precious Metals,US Corporate Bond,US Short Term Total Bond,US Junk Bonds,Long Term Municipal,Short Term Municipal,Vanguard Health Care,spdr_Energy,spdr_Materials,spdr_Industrials,spdr_Consumer Discretionary,spdr_Consumer Staples,spdr_Health Care,spdr_Financials,spdr_Information Technology,spdr_Telecom Services,spdr_Utilities
1992-12-31,9.624600639,7.42,13.55018958,16.16766467,21.45708583,17.96407186,28.84231537,13.55018958,14.30281269,6.62,-15.78,6.1,-8.521253243,-11.87930862,-11.56,-20.87277075,11.03358916,11.03358916,11.03358916,8.596796207,2.07791846,-2.68,-2.63,-5.97,3.65,6.719358916,6.24,8.62,7.14,7.285429142000001,8.85495,7.4047,7.56,6.536926147999999,3.53,4.77,8.48,7.58,12.47,32.98,7.93,8.67,16.5,-18.17,-3.32,-19.41,8.615694158,7.19486,14.24035,9.3,4.71,-1.57,12.72,10.32,9.42,19.52,6.62,-15.78,23.22,3.22,16.22,8.32
1993-12-31,10.44329073,9.89,18.09020156,14.07185629,15.36926148,18.7,23.55289421,18.09020156,19.38958707,-6.81,-6.01,26.52,38.87946518,32.78049755,39.35,33.89459002,74.22505731,74.22505731,74.22505731,24.2620566,56.16348651,43.72,54.07,17.39,-12.98,19.68950573,13.63,12.08,9.68,15.46906188,11.55274,16.787029999999998,11.43,6.41,2.86,1.53,10.98,13.17,14.49,24.65,13.52,14.65,19.37,35.46,29.13,93.36,12.07956016,7.06653,18.24025,13.45,3.82,11.81,12.59,14.39,19.49,20.49,-6.81,-6.01,10.99,19.59,14.79,13.39
1994-12-31,-0.17,1.18,-0.73,-2.295409182,-2.295409182,-0.51,-1.696606786,-0.73,2.932375823,5.68,13.18,-1.63,5.557772900000002,8.002797482,10.59,15.48271396,-7.604903817,-7.604903817,-7.604903817,3.588725092,6.065403969,-6.28,22.07,-2.41,4.51,-19.33,-4.87,-4.0,-2.66,2.9940119760000004,-2.12166,-7.03823,-4.33,-0.58,3.81,2.89,-2.4,-2.59,-1.76,-3.7,-0.49,-4.44,-0.15,13.04,1.88,-5.42,-3.999720428,-0.08109,-1.71265,-5.75,1.7,9.54,2.48,5.18,-2.92,-7.22,5.68,13.18,-3.42,19.68,-4.62,-11.62
1995-12-31,35.79,37.45,36.94,34.13173653,34.63073852,28.74,25.5489022,36.94,15.00099741,36.75,58.45,25.32,9.702654161,11.49965031,10.82,2.281558235,0.229243496,0.229243496,0.229243496,13.676411600000002,20.15262237,21.02,8.17,0.73,19.44,26.38,17.12,22.16,18.18,0.598802395,13.64473,30.09321,20.44,12.11,5.49,38.06,33.73,30.74,33.8,29.5,32.92,28.91,30.15,2.75,22.28,-4.48,22.16027566,12.73563,19.15286,18.72,5.92,45.17,30.25,17.35,39.65,22.05,36.75,58.45,53.65,38.45,41.05,31.35
1996-12-31,20.96,22.88,21.86,18.76247505,21.21756487,18.12,21.15768463,21.86,34.94913226,24.48,22.08,34.0,7.577828777000001,6.3043261070000005,8.4,4.015143967,15.83,15.83,15.83,28.10630639,42.15000031,11.22,8.77,-4.79,32.92,38.91,11.88,3.21,3.58,3.892215569,4.19648,-1.25415,1.92,4.39,5.09,23.74,18.69,11.08,17.65,16.29,16.19,9.42,26.36,-7.82,21.26,-0.75,3.212029027,4.7880699999999985,9.5444,4.41,3.69,21.36,25.68,13.38,24.78,13.78,24.48,22.08,36.18,42.18,0.68,4.08
1997-12-31,30.99,33.19,29.77,28.74251497,36.80638723,24.59,31.53692615,29.77,18.4619988,36.69,41.09,14.89,-0.987826781,2.008192627,1.07,-14.44654777,-16.82,-16.82,-16.82,13.5995424,10.32427266,-12.11985161,-5.13,-21.64,-14.71,12.62,10.69,10.16,9.44,7.784431137999999,7.0815100000000015,13.9042,8.96,6.39,5.12,36.34,20.36,12.67,26.73,21.54,23.23,20.19,21.97,-25.67,24.23,-38.92,10.15665048,6.945989999999999,11.90727,9.29,4.07,28.57,24.59,7.79,27.49,29.39,36.69,41.09,49.39,27.89,40.49,24.79
1998-12-31,23.26,28.62,14.64,9.880239521,1.317365269,-2.61,-6.686626747,14.64,-16.32,22.92,41.42,-20.53,15.6,20.19182736,17.21,25.98,-18.12,-18.12,-18.12,-8.34,12.05977394,4.203144423,-10.63,-1.07,-36.22,-14.75,11.87,8.5,8.58,2.594810379,5.7597,13.05121,10.61,7.36,5.0,42.21,17.03,1.0,8.32,-1.81,12.06,11.84,0.81,2.41,28.86,-3.91,8.49697256,6.56734,5.61802,6.02,4.32,40.8,2.52,-8.48,9.52,33.12,22.92,41.42,9.12,77.12,51.62,14.42
1999-12-31,23.81,21.07,12.57,15.08982036,1.996007984,23.13,3.143712575,12.57,-4.04,-1.63,-9.33,20.98,29.92,27.18553302,23.63,90.29,61.57,61.57,61.57,4.45,63.01737487,19.23841639,60.77,0.6,39.87,25.57,1.96,-2.68,-0.76,7.684630739,-0.50288,-8.658489999999999,-3.52,1.85,4.55,28.76,70.19,19.56,36.22,31.49,4.41,-4.14,11.57,57.05,16.62,28.82,-2.678125312,3.30395,2.55146,-3.53,2.58,7.05,15.07,30.07,19.07,20.97,-1.63,-9.33,3.77,77.47,19.67,-9.73
2000-12-31,-10.57,-9.06,6.08,18.1,22.2255489,-2.67,21.88,6.08,26.35,5.64,38.24,36.43,-15.61,-14.36706964,-3.53,-2.68,-27.56,-27.56,-27.56,15.86,-22.57994754,-11.8725976,-0.63,-5.68,48.63,15.26,8.95,10.21,11.39,4.590818363,9.24136,19.72221,14.03,8.83,5.8,-22.21,-26.44,1.59,-15.55,0.67,10.4,16.17,15.89,-25.74,-8.18,-7.34,10.21138268,8.17383,-0.87969,13.32,4.91,60.53,20.04,-17.86,3.94,-24.26,5.64,38.24,25.94,-38.46,-37.96,58.44
2001-12-31,-10.97,-12.02,-11.88,-0.5,8.572854291,3.1,13.7,-11.88,12.35,-3.32,-12.22,-2.55,-20.15,-22.01019083,-18.85,-22.52,-2.88,-2.88,-2.88,4.225,-23.03003603,1.895286619,28.67,0.5,-32.44,-1.2,6.12,9.45,8.43,7.395209581,5.05426,4.30805,7.55,7.8,3.99,-12.93,-20.59,-0.78,-9.13,23.98,4.19,7.39,5.72,-26.34,-20.3,18.33,9.447639515,8.13852,2.90382,4.54,4.75,-6.87,-11.02,3.28,-7.52,4.48,-3.32,-12.22,-9.02,-25.02,-12.42,-32.22
